Feature,Importance
Bwd_Packets_Per_Duration,0.06103881665204341
Fwd_Bwd_Packet_Length_Ratio,0.05712000035917419
Log_Bwd_Packets_per_s,0.05273522376397471
Bwd Packet Length Std,0.050450210509198005
Fwd_Byte_Proportion,0.042532848833406314
Bwd_Bytes_Per_Packet,0.03785091219816722
Fwd_Bwd_Byte_Ratio,0.037466818508883025
Bwd Packets/s,0.037422817327191236
Bwd_Fwd_Byte_Ratio,0.03580453583987989
Fwd_Bytes_Per_Duration,0.03287316602736666
Bwd_Byte_Proportion,0.03125038378116091
Init_Win_bytes_forward,0.03101612041597755
Max Packet Length,0.02884433394156693
Packet Length Mean,0.024747788145225515
Log_Packet_Length_Mean,0.02362066236646467
Packet Length Variance,0.023018469320933814
Avg Bwd Segment Size,0.021095777291299172
Bwd Packet Length Mean,0.02011293565774161
Min Packet Length,0.019246380067746222
Average Packet Size,0.018899594310957526
Bwd Packet Length Max,0.018875613928313245
Packet Length Std,0.01585703297402095
Init_Win_bytes_backward,0.012806863181117852
Fwd Packet Length Mean,0.011974083873776594
Flow Bytes/s,0.010998078783059358
Fwd Header Length,0.010792435198907397
Avg Fwd Segment Size,0.010579289123570094
Log_Total_Length_of_Bwd_Packets,0.009021044988567876
Total Backward Packets,0.00779208526727339
Fwd Header Length.1,0.00777201211898494
Total Length of Bwd Packets,0.0076722754828162055
Fwd_Bytes_Per_Packet,0.007578581378450404
Fwd_Packet_Proportion,0.007352670284400517
Bwd Header Length,0.007120745706850653
Fwd IAT Mean,0.007111122988171544
Subflow Bwd Packets,0.006844391048929236
Flow IAT Mean,0.006780437071147708
Flow Packets/s,0.0064972885525480814
Bwd_Packet_Proportion,0.006328241294653577
Log_Total_Backward_Packets,0.0062808737591100484
FIN Flag Count,0.0058842097869767586
Fwd Packet Length Min,0.005587619718032398
Subflow Bwd Bytes,0.005394873978972956
Fwd IAT Max,0.005358520149447289
Fwd Packet Length Max,0.005261878404879982
Idle Max,0.005152413760625051
Log_Total_Length_of_Fwd_Packets,0.0049627268654246345
Total Length of Fwd Packets,0.004796332692822028
Log_Fwd_Packets_per_s,0.004028245835539751
Bwd_Fwd_Packet_Ratio,0.004013700036609422
Bwd_Bytes_Per_Duration,0.004000088087546655
Fwd Packets/s,0.003934848808428964
Subflow Fwd Bytes,0.0034944158211913084
Fwd_Packets_Per_Duration,0.00345842253495001
Log_Flow_Packets_per_s,0.003449770949034908
Fwd IAT Total,0.0034414566697406517
Flow Duration,0.0033287302428314436
act_data_pkt_fwd,0.0033086312158374085
Flow IAT Max,0.00307622941615095
Log_Total_Fwd_Packets,0.0029307839858455464
Subflow Fwd Packets,0.00286001264516102
Log_Flow_Duration,0.002560853117120134
Flow IAT Min,0.002405982793386535
min_seg_size_forward,0.0023118925947445607
Fwd IAT Min,0.0022572916804905947
Down/Up Ratio,0.0022125546270988995
Idle Mean,0.0021790448441540394
Flow IAT Std,0.002126750845750135
URG Flag Count,0.0018738663145798317
Fwd Packet Length Std,0.001873201140214359
Total Fwd Packets,0.0014666424812347896
Fwd_Bwd_Packet_Ratio,0.0014525251360730824
Bwd IAT Total,0.0013422398254522303
Bwd IAT Mean,0.0013113371802721833
Fwd_Bwd_Header_Ratio,0.0013069965196545704
Fwd_Bwd_IAT_Ratio,0.0012510954801779677
PSH Flag Count,0.0011395925692083554
Bwd IAT Min,0.0011303114437736688
Active Mean,0.0010843310890630044
Fwd_Bwd_Packet_Rate_Ratio,0.0009489125435797318
Fwd IAT Std,0.0009469944521176075
Active Max,0.000845268748024783
Bwd Packet Length Min,0.000686436256267385
Bwd IAT Max,0.0006359429350805493
Bwd IAT Std,0.0005994066936432806
Idle Min,0.0005217252399944815
Active Min,0.0005194448578290257
Active Std,0.0004842550094143518
ACK Flag Count,0.00045885899602652404
Idle Std,0.00043381917985989965
SYN Flag Count,0.00042556274278925766
Fwd PSH Flags,0.0002997375896655083
ECE Flag Count,2.5114418134611406e-07
RST Flag Count,1.8358683983090433e-17
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd URG Flags,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd Avg Bulk Rate,0.0
Fwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
Fwd Avg Packets/Bulk,0.0
